run_name,run_dir,phase,task,method,seed,ablation_group,ablation_name,star_algorithm_version,git_sha,final_step,expected_steps,completed,has_final_checkpoint,final_checkpoint,error_scan,train_latest_reward,train_latest_cost,train_avg_last10_reward,train_avg_last10_cost,train_total_cost,train_total_cost_rate,mechanism_rows,raw_eval_episodes,raw_return_mean,raw_cost_mean,raw_evr_mean,raw_constraint_satisfaction_rate,filtered_eval_episodes,filtered_return_mean,filtered_cost_mean,filtered_evr_mean,filtered_constraint_satisfaction_rate,shadow_excess,effective_beta,steps_per_sec,actor_update_ms,actor_update_note
starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s20,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s20,ablation_100k,SafetyCarGoal1-v0,star_v2,20,ablation_100k,endpoint_fix_positive_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s20/checkpoint/final.torch,,34.03395046455548,45.0,33.313548722317826,49.2,5988.0,0.05988,19,10,32.205640182075214,53.2,0.053200000000000004,0.2,0,nan,nan,nan,nan,0.04883956164121628,0.5313115119934082,20.364472343176775,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s21,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s21,ablation_100k,SafetyCarGoal1-v0,star_v2,21,ablation_100k,endpoint_fix_positive_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s21/checkpoint/final.torch,,32.29764747912031,60.0,33.416078721302135,45.9,6785.0,0.06785,19,10,34.29245132712189,77.9,0.07790000000000001,0.1,0,nan,nan,nan,nan,0.0509304404258728,0.531157374382019,20.308637376646896,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s22,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s22,ablation_100k,SafetyCarGoal1-v0,star_v2,22,ablation_100k,endpoint_fix_positive_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_endpoint_fix_positive_linear_star_v2_s22/checkpoint/final.torch,,35.724800969920615,27.0,34.03371040844414,46.2,6428.0,0.06428,19,10,34.259160861621226,48.4,0.04839999999999999,0.2,0,nan,nan,nan,nan,0.03945029154419899,0.5307731032371521,19.811891092458872,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s20,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s20,ablation_100k,SafetyCarGoal1-v0,star_v2,20,ablation_100k,original_legacy_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s20/checkpoint/final.torch,,34.81176395784408,59.0,32.48037108830307,82.5,7234.0,0.07234,19,10,35.27415122980318,54.2,0.054200000000000005,0.2,0,nan,nan,nan,nan,0.06437256932258606,0.49976062774658203,20.12498255822198,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s21,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s21,ablation_100k,SafetyCarGoal1-v0,star_v2,21,ablation_100k,original_legacy_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s21/checkpoint/final.torch,,33.59492284231297,20.0,33.83094599981058,47.7,8266.0,0.08266,19,10,33.56948945419231,53.0,0.053000000000000005,0.3,0,nan,nan,nan,nan,0.07811824232339859,0.4999427795410156,20.26648708985646,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s22,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s22,ablation_100k,SafetyCarGoal1-v0,star_v2,22,ablation_100k,original_legacy_linear,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_original_legacy_linear_star_v2_s22/checkpoint/final.torch,,35.58898487700516,89.0,34.38175616718123,67.8,6446.0,0.06446,19,10,33.09007438336653,59.2,0.059199999999999996,0.4,0,nan,nan,nan,nan,0.0369018018245697,0.4998944401741028,20.754087284563084,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s20,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s20,ablation_100k,SafetyCarGoal1-v0,star_v2,20,ablation_100k,penalty_fix_legacy_squared,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s20/checkpoint/final.torch,,35.02407808362589,18.0,33.35468421079575,83.3,5388.0,0.05388,19,10,34.00844763919044,52.7,0.052700000000000004,0.3,0,nan,nan,nan,nan,0.042637795209884644,0.4996824860572815,20.225540233639293,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s21,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s21,ablation_100k,SafetyCarGoal1-v0,star_v2,21,ablation_100k,penalty_fix_legacy_squared,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s21/checkpoint/final.torch,,36.59803747045535,0.0,34.534058317850885,41.6,5649.0,0.05649,19,10,33.02822554063302,56.3,0.056299999999999996,0.1,0,nan,nan,nan,nan,0.05633392557501793,0.5000656843185425,20.17876639625177,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s22,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s22,ablation_100k,SafetyCarGoal1-v0,star_v2,22,ablation_100k,penalty_fix_legacy_squared,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_penalty_fix_legacy_squared_star_v2_s22/checkpoint/final.torch,,32.408261575575715,0.0,33.80910168337164,54.0,6731.0,0.06731,19,10,33.40474177701617,65.3,0.0653,0.2,0,nan,nan,nan,nan,0.046613357961177826,0.49986231327056885,20.959961107282357,,aggregate update_time only
starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s20,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s20,ablation_100k,SafetyCarGoal1-v0,star_v2,20,ablation_100k,star_v2_positive_squared,star_v2,9317416f8f25da31b7135cbb5de0a3a44f4a7fd6,100000,100000,True,True,/root/FLAC-Safe-star-v2/results/star_v2_final/ablation_100k/SafetyCarGoal1-v0/star_v2/starv2_ablation_100k_SafetyCarGoal1_v0_star_v2_positive_squared_star_v2_s20/checkpoint/final.torch,,34.96046945350349,39.0,33.35953645830666,64.1,5155.0,0.05155,19,10,33.84020723904766,57.0,0.056999999999999995,0.3,0,nan,nan,nan,nan,0.05031026899814606,0.5308969616889954,20.18689634130744,,aggregate update_time only
